epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_B_f_mae,training_C_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_B_f_rmse,training_C_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_B_f_mae,validation_C_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_B_f_rmse,validation_C_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
       140, 16964.206,    0.005,        0.0014715,       5.6628e-06,        0.0014772,     0.000921,      0.00146,     0.000721,     0.000884,      0.00118,      0.00112,     0.000975,      0.00129,      0.00118,      0.00165,      0.00166,      0.00145,      0.00456,     7.61e-05,       0.00051903,       5.0471e-08,       0.00051908,     0.000437,     0.000865,     0.000395,      0.00042,     0.000482,      0.00053,     0.000457,      0.00089,     0.000601,     0.000818,      0.00102,     0.000832,     0.000391,     6.52e-06
       141, 17258.782,    0.005,           0.0014,        3.604e-06,        0.0014036,     0.000881,      0.00142,     0.000703,     0.000866,      0.00111,      0.00106,     0.000934,      0.00129,      0.00115,      0.00157,       0.0016,      0.00141,      0.00358,     5.97e-05,       0.00051454,       4.1428e-08,       0.00051458,     0.000431,     0.000862,     0.000393,     0.000427,      0.00047,     0.000531,     0.000455,     0.000889,     0.000611,     0.000808,      0.00102,     0.000832,     0.000342,     5.71e-06
       142, 17548.337,    0.005,        0.0012716,       2.5638e-06,        0.0012742,     0.000811,      0.00135,      0.00064,     0.000762,      0.00104,     0.000944,     0.000847,      0.00124,      0.00102,       0.0015,      0.00152,      0.00132,      0.00279,     4.66e-05,       0.00051147,       4.1786e-08,       0.00051151,     0.000429,     0.000859,     0.000391,     0.000418,     0.000469,     0.000525,     0.000451,     0.000887,       0.0006,     0.000806,      0.00101,     0.000827,     0.000336,      5.6e-06
       143, 17839.709,    0.005,        0.0011331,       3.0661e-06,        0.0011362,     0.000767,      0.00128,     0.000647,     0.000717,     0.000921,      0.00091,     0.000799,      0.00123,     0.000979,      0.00134,      0.00146,      0.00125,      0.00289,     4.81e-05,        0.0005068,       3.9773e-08,       0.00050684,     0.000426,     0.000855,     0.000389,      0.00041,     0.000465,     0.000519,     0.000445,     0.000885,     0.000591,     0.000799,      0.00101,     0.000821,     0.000343,     5.71e-06
       144, 18128.474,    0.005,        0.0012389,       2.4643e-06,        0.0012414,     0.000794,      0.00133,     0.000657,     0.000747,     0.000983,      0.00088,     0.000817,      0.00127,        0.001,      0.00142,      0.00145,      0.00129,      0.00278,     4.64e-05,       0.00050308,       4.1132e-08,       0.00050312,     0.000421,     0.000852,     0.000385,     0.000407,     0.000458,     0.000512,     0.000441,     0.000883,      0.00059,     0.000794,      0.00101,     0.000818,     0.000348,     5.81e-06
       145, 18421.083,    0.005,         0.001398,       4.1982e-06,        0.0014022,     0.000897,      0.00142,      0.00072,     0.000868,      0.00113,      0.00108,     0.000947,      0.00129,      0.00116,      0.00158,      0.00161,      0.00141,      0.00364,     6.07e-05,        0.0005043,       4.2389e-08,       0.00050435,     0.000424,     0.000853,     0.000386,     0.000416,     0.000463,     0.000513,     0.000445,     0.000883,     0.000597,     0.000796,      0.00101,      0.00082,     0.000349,     5.81e-06
       146, 18711.344,    0.005,        0.0011527,       3.1543e-06,        0.0011559,     0.000778,      0.00129,     0.000636,     0.000767,     0.000959,     0.000927,     0.000822,      0.00122,      0.00103,      0.00137,      0.00148,      0.00128,      0.00308,     5.13e-05,       0.00050287,       4.1027e-08,       0.00050291,     0.000424,     0.000852,     0.000387,     0.000413,     0.000462,     0.000514,     0.000444,     0.000881,     0.000593,     0.000796,        0.001,     0.000819,     0.000348,      5.8e-06
       147, 19001.068,    0.005,        0.0012179,       5.4075e-06,        0.0012233,     0.000789,      0.00132,     0.000659,     0.000731,     0.000958,     0.000925,     0.000818,      0.00126,     0.000995,      0.00141,      0.00148,      0.00129,      0.00405,     6.75e-05,       0.00049944,       4.1075e-08,       0.00049948,     0.000418,     0.000849,     0.000383,     0.000406,     0.000453,     0.000507,     0.000437,      0.00088,     0.000587,     0.000791,        0.001,     0.000815,      0.00035,     5.84e-06
       148, 19291.963,    0.005,        0.0012941,       5.4434e-06,        0.0012995,     0.000866,      0.00137,     0.000717,     0.000835,      0.00106,      0.00103,     0.000911,      0.00128,      0.00112,      0.00147,      0.00155,      0.00136,      0.00416,     6.93e-05,        0.0004999,       4.4502e-08,       0.00049995,     0.000421,     0.000849,     0.000386,     0.000395,     0.000458,     0.000509,     0.000437,     0.000881,     0.000572,     0.000792,     0.000998,     0.000811,     0.000356,     5.93e-06
       149, 19582.586,    0.005,        0.0012169,        2.901e-06,        0.0012198,     0.000798,      0.00132,     0.000642,      0.00074,      0.00101,     0.000934,      0.00083,      0.00124,     0.000977,      0.00142,      0.00148,      0.00128,      0.00298,     4.97e-05,       0.00049781,       3.7831e-08,       0.00049785,     0.000414,     0.000848,     0.000379,     0.000393,     0.000451,     0.000496,      0.00043,      0.00088,     0.000575,      0.00079,     0.000992,     0.000809,     0.000332,     5.53e-06
       150, 19872.589,    0.005,        0.0019034,        4.341e-06,        0.0019077,      0.00105,      0.00166,      0.00086,     0.000917,      0.00129,      0.00137,      0.00111,      0.00149,      0.00123,      0.00184,      0.00203,      0.00165,       0.0035,     5.84e-05,       0.00050929,       3.8607e-08,       0.00050933,     0.000428,     0.000857,     0.000387,     0.000411,     0.000472,     0.000523,     0.000448,     0.000884,     0.000593,     0.000807,      0.00101,     0.000823,     0.000339,     5.65e-06
       151, 20162.302,    0.005,        0.0013205,       3.1785e-06,        0.0013237,     0.000842,      0.00138,     0.000675,     0.000805,      0.00107,     0.000966,     0.000878,      0.00129,      0.00108,       0.0015,      0.00153,      0.00135,       0.0033,      5.5e-05,       0.00050121,       3.9346e-08,       0.00050125,     0.000417,     0.000851,     0.000379,     0.000403,     0.000457,     0.000505,     0.000436,     0.000881,     0.000589,     0.000795,        0.001,     0.000816,     0.000351,     5.85e-06
       152, 20457.675,    0.005,        0.0011113,       2.8586e-06,        0.0011141,     0.000749,      0.00127,     0.000626,     0.000661,     0.000914,     0.000865,     0.000767,      0.00122,     0.000891,      0.00133,      0.00142,      0.00121,      0.00308,     5.13e-05,       0.00049508,       5.2587e-08,       0.00049513,     0.000415,     0.000845,     0.000382,     0.000399,     0.000451,     0.000501,     0.000433,     0.000878,     0.000578,     0.000786,     0.000995,     0.000809,     0.000395,     6.58e-06
       153, 20748.153,    0.005,        0.0013059,       3.2378e-06,        0.0013091,     0.000871,      0.00137,     0.000742,     0.000809,      0.00103,      0.00105,     0.000908,      0.00131,       0.0011,      0.00144,       0.0016,      0.00136,      0.00308,     5.13e-05,       0.00049508,       4.0033e-08,       0.00049512,     0.000417,     0.000845,     0.000384,       0.0004,     0.000451,     0.000507,     0.000435,     0.000879,     0.000582,     0.000784,     0.000997,     0.000811,     0.000338,     5.64e-06
       154, 21037.745,    0.005,        0.0011227,       4.5902e-06,        0.0011273,     0.000761,      0.00127,     0.000622,     0.000715,      0.00095,     0.000866,     0.000788,       0.0012,     0.000953,      0.00136,      0.00142,      0.00124,      0.00387,     6.45e-05,       0.00049195,       4.0007e-08,       0.00049199,     0.000413,     0.000843,     0.000379,     0.000392,     0.000449,     0.000496,     0.000429,     0.000876,     0.000575,     0.000782,     0.000992,     0.000806,     0.000336,     5.61e-06
       155, 21330.047,    0.005,         0.001206,       2.8346e-06,        0.0012089,     0.000809,      0.00132,     0.000687,     0.000788,     0.000959,     0.000967,      0.00085,      0.00126,      0.00106,      0.00138,      0.00152,       0.0013,      0.00315,     5.24e-05,        0.0004901,       3.9238e-08,       0.00049013,     0.000413,     0.000841,      0.00038,     0.000396,     0.000446,     0.000509,     0.000433,     0.000875,     0.000578,     0.000777,     0.000997,     0.000807,     0.000355,     5.92e-06
       156, 21622.002,    0.005,        0.0012232,       4.8221e-06,         0.001228,     0.000831,      0.00133,     0.000669,     0.000839,      0.00104,     0.000985,     0.000882,      0.00122,      0.00113,      0.00146,       0.0015,      0.00133,      0.00408,      6.8e-05,       0.00048943,       3.6941e-08,       0.00048947,     0.000414,     0.000841,     0.000379,     0.000396,      0.00045,     0.000512,     0.000434,     0.000873,     0.000575,     0.000779,     0.000996,     0.000806,     0.000317,     5.28e-06
       157, 21917.098,    0.005,        0.0010279,       2.5736e-06,        0.0010305,     0.000714,      0.00122,     0.000604,     0.000678,     0.000857,     0.000813,     0.000738,      0.00119,     0.000917,      0.00125,      0.00136,      0.00118,      0.00283,     4.72e-05,       0.00048412,       5.1441e-08,       0.00048417,     0.000405,     0.000836,     0.000372,     0.000391,     0.000439,     0.000495,     0.000424,     0.000871,      0.00057,     0.000772,     0.000988,       0.0008,     0.000376,     6.27e-06
       158, 22208.353,    0.005,        0.0013067,        4.993e-06,        0.0013117,      0.00086,      0.00137,     0.000715,     0.000732,      0.00105,      0.00105,     0.000885,      0.00129,     0.000963,      0.00148,      0.00156,      0.00132,      0.00407,     6.78e-05,       0.00048478,       3.4418e-08,       0.00048481,     0.000408,     0.000837,     0.000376,     0.000391,      0.00044,     0.000493,     0.000425,     0.000871,     0.000565,     0.000774,     0.000986,     0.000799,     0.000311,     5.19e-06
       159, 22499.129,    0.005,        0.0012394,       6.2951e-06,        0.0012457,     0.000819,      0.00134,     0.000659,     0.000812,      0.00102,     0.000975,     0.000867,      0.00124,       0.0011,      0.00146,      0.00151,      0.00133,      0.00407,     6.78e-05,       0.00048515,       5.6808e-08,       0.00048521,     0.000403,     0.000837,     0.000369,     0.000382,     0.000438,      0.00049,      0.00042,     0.000872,     0.000558,     0.000774,     0.000986,     0.000798,     0.000423,     7.05e-06
       160, 22789.016,    0.005,        0.0012181,       4.2039e-06,        0.0012223,     0.000801,      0.00132,     0.000642,     0.000733,      0.00101,     0.000948,     0.000834,      0.00123,        0.001,      0.00145,       0.0015,      0.00129,      0.00358,     5.97e-05,         0.000483,       6.6552e-08,       0.00048307,     0.000402,     0.000835,     0.000367,     0.000391,     0.000437,     0.000491,     0.000422,     0.000869,      0.00057,     0.000772,     0.000988,       0.0008,     0.000469,     7.82e-06
       161, 23080.558,    0.005,        0.0013156,       3.7392e-06,        0.0013193,      0.00087,      0.00138,     0.000711,     0.000897,      0.00107,     0.000999,      0.00092,      0.00127,      0.00121,      0.00151,      0.00153,      0.00138,      0.00347,     5.78e-05,       0.00048639,       3.6194e-08,       0.00048643,     0.000411,     0.000838,     0.000378,     0.000391,     0.000445,     0.000504,     0.000429,     0.000871,     0.000567,     0.000777,      0.00099,     0.000801,     0.000327,     5.45e-06
       162, 23369.575,    0.005,         0.001085,       2.5518e-06,        0.0010876,     0.000741,      0.00124,      0.00063,     0.000753,     0.000877,     0.000871,     0.000783,      0.00121,     0.000999,      0.00128,       0.0014,      0.00122,      0.00291,     4.86e-05,       0.00048109,       3.7121e-08,       0.00048113,     0.000404,     0.000833,     0.000373,     0.000388,     0.000434,     0.000491,     0.000421,     0.000868,     0.000561,      0.00077,     0.000983,     0.000796,     0.000332,     5.53e-06
       163, 23657.737,    0.005,         0.001661,       8.1992e-06,        0.0016692,     0.000998,      0.00155,     0.000791,      0.00103,      0.00126,      0.00117,      0.00106,      0.00137,      0.00136,      0.00175,      0.00171,      0.00155,      0.00496,     8.26e-05,       0.00048706,       5.0128e-08,       0.00048711,     0.000409,     0.000838,     0.000373,     0.000388,     0.000448,      0.00049,     0.000425,      0.00087,     0.000565,     0.000782,     0.000984,       0.0008,     0.000393,     6.55e-06
       164, 23953.542,    0.005,        0.0012852,       1.8837e-06,        0.0012871,     0.000857,      0.00136,     0.000738,     0.000786,     0.000987,      0.00113,     0.000911,      0.00131,      0.00106,       0.0014,      0.00168,      0.00136,      0.00249,     4.14e-05,       0.00048517,       4.5383e-08,       0.00048522,     0.000409,     0.000837,     0.000376,     0.000387,     0.000444,     0.000495,     0.000426,      0.00087,     0.000566,     0.000778,     0.000985,     0.000799,     0.000369,     6.15e-06
       165, 24244.632,    0.005,        0.0010824,       3.1909e-06,        0.0010855,     0.000751,      0.00125,     0.000639,     0.000709,     0.000888,     0.000916,     0.000788,       0.0012,     0.000975,       0.0013,      0.00144,      0.00123,      0.00308,     5.13e-05,       0.00047991,       4.0149e-08,       0.00047995,       0.0004,     0.000832,     0.000367,     0.000394,     0.000433,     0.000485,      0.00042,     0.000867,     0.000575,     0.000769,     0.000981,     0.000798,     0.000327,     5.45e-06
       166, 24531.124,    0.005,        0.0010398,       3.5018e-06,        0.0010433,     0.000719,      0.00122,     0.000595,     0.000771,     0.000868,     0.000857,     0.000773,      0.00118,      0.00101,      0.00127,      0.00139,      0.00121,      0.00348,      5.8e-05,       0.00047588,       3.9311e-08,       0.00047591,     0.000398,     0.000829,     0.000366,     0.000392,      0.00043,      0.00048,     0.000417,     0.000864,     0.000574,     0.000765,     0.000976,     0.000795,     0.000343,     5.72e-06
       167, 24815.161,    0.005,        0.0013639,       4.9928e-06,        0.0013688,     0.000875,       0.0014,     0.000697,     0.000875,      0.00111,        0.001,     0.000921,      0.00127,      0.00117,      0.00156,      0.00154,      0.00139,      0.00398,     6.63e-05,       0.00047733,       5.6013e-08,       0.00047739,     0.000401,      0.00083,     0.000369,     0.000388,     0.000433,     0.000489,      0.00042,     0.000866,      0.00056,     0.000766,      0.00098,     0.000793,     0.000399,     6.65e-06
       168, 25099.012,    0.005,        0.0012553,       4.6681e-06,        0.0012599,     0.000851,      0.00135,      0.00071,     0.000696,      0.00105,     0.000984,     0.000859,      0.00126,     0.000934,      0.00147,      0.00149,      0.00129,      0.00379,     6.32e-05,       0.00047938,       3.6734e-08,       0.00047942,     0.000406,     0.000832,     0.000376,     0.000372,     0.000436,     0.000494,     0.000419,     0.000867,     0.000548,      0.00077,     0.000981,     0.000791,     0.000313,     5.21e-06
       169, 25382.661,    0.005,         0.001043,       3.0371e-06,         0.001046,     0.000717,      0.00123,     0.000612,     0.000656,     0.000849,      0.00086,     0.000744,       0.0012,     0.000891,      0.00125,      0.00141,      0.00119,      0.00333,     5.55e-05,       0.00047136,       3.7598e-08,        0.0004714,     0.000393,     0.000825,     0.000363,     0.000368,     0.000424,     0.000473,     0.000407,     0.000862,     0.000543,      0.00076,     0.000971,     0.000784,     0.000328,     5.47e-06
       170, 25666.272,    0.005,        0.0011571,       4.9401e-06,         0.001162,     0.000794,      0.00129,     0.000644,     0.000699,     0.000991,     0.000957,     0.000823,       0.0012,     0.000947,      0.00141,      0.00147,      0.00126,      0.00402,      6.7e-05,       0.00047439,       4.1738e-08,       0.00047444,     0.000399,     0.000828,     0.000368,     0.000368,     0.000431,     0.000484,     0.000413,     0.000862,     0.000543,     0.000766,     0.000975,     0.000786,     0.000369,     6.16e-06
       171, 25949.958,    0.005,         0.001179,       4.1073e-06,        0.0011831,      0.00079,       0.0013,     0.000662,     0.000725,     0.000965,     0.000893,     0.000811,      0.00124,      0.00098,      0.00139,      0.00143,      0.00126,      0.00354,      5.9e-05,        0.0004709,       4.8267e-08,       0.00047095,     0.000393,     0.000825,     0.000361,     0.000369,     0.000427,     0.000475,     0.000408,      0.00086,     0.000548,     0.000762,     0.000971,     0.000785,     0.000365,     6.08e-06
       172, 26233.575,    0.005,        0.0011749,       7.1673e-06,        0.0011821,     0.000796,       0.0013,     0.000659,     0.000694,     0.000982,     0.000922,     0.000814,      0.00123,     0.000922,      0.00139,      0.00145,      0.00125,       0.0049,     8.17e-05,       0.00047181,       3.6929e-08,       0.00047185,     0.000396,     0.000825,     0.000364,      0.00037,      0.00043,     0.000479,     0.000411,      0.00086,     0.000546,     0.000765,     0.000967,     0.000785,     0.000312,      5.2e-06
       173, 26517.056,    0.005,        0.0011472,       5.8507e-06,        0.0011531,      0.00078,      0.00129,     0.000642,     0.000729,     0.000965,     0.000892,     0.000807,      0.00121,     0.000992,      0.00138,      0.00142,      0.00125,      0.00429,     7.16e-05,       0.00046901,       3.6944e-08,       0.00046905,     0.000394,     0.000823,     0.000364,     0.000376,     0.000426,     0.000474,      0.00041,     0.000858,     0.000552,      0.00076,     0.000966,     0.000784,     0.000337,     5.61e-06
       174, 26800.748,    0.005,        0.0011822,       4.2528e-06,        0.0011865,     0.000762,       0.0013,      0.00061,     0.000774,      0.00095,      0.00093,     0.000816,      0.00121,      0.00105,      0.00141,      0.00147,      0.00129,      0.00348,      5.8e-05,        0.0004687,        6.961e-08,       0.00046877,     0.000389,     0.000823,     0.000358,     0.000378,     0.000422,     0.000461,     0.000405,     0.000859,     0.000554,     0.000758,     0.000964,     0.000784,      0.00047,     7.83e-06
       175, 27084.515,    0.005,        0.0011221,       3.2493e-06,        0.0011254,     0.000785,      0.00127,     0.000654,     0.000702,     0.000952,     0.000947,     0.000814,       0.0012,     0.000948,      0.00136,      0.00145,      0.00124,      0.00333,     5.55e-05,       0.00046618,       4.1677e-08,       0.00046622,     0.000392,      0.00082,     0.000363,     0.000373,     0.000421,     0.000474,     0.000408,     0.000857,     0.000546,     0.000756,     0.000965,     0.000781,      0.00033,     5.49e-06
       176, 27368.096,    0.005,        0.0011358,       2.7538e-06,        0.0011386,     0.000779,      0.00128,      0.00065,     0.000755,     0.000942,     0.000919,     0.000817,      0.00122,      0.00101,      0.00135,      0.00145,      0.00126,      0.00303,     5.05e-05,       0.00046543,        4.148e-08,       0.00046547,     0.000392,      0.00082,     0.000363,     0.000361,     0.000423,     0.000473,     0.000405,     0.000856,     0.000535,     0.000756,     0.000962,     0.000777,     0.000345,     5.75e-06
       177, 27651.508,    0.005,         0.000978,       3.4919e-06,        0.0009815,     0.000678,      0.00119,     0.000582,     0.000641,     0.000804,     0.000766,     0.000698,      0.00118,     0.000876,      0.00119,      0.00132,      0.00114,      0.00334,     5.57e-05,       0.00046017,       6.5051e-08,       0.00046024,     0.000384,     0.000815,     0.000354,      0.00036,     0.000415,      0.00046,     0.000397,     0.000854,     0.000534,     0.000749,     0.000955,     0.000773,     0.000447,     7.45e-06
       178, 27935.272,    0.005,        0.0013849,        4.308e-06,        0.0013892,     0.000877,      0.00141,     0.000708,     0.000738,       0.0011,      0.00107,     0.000903,      0.00129,     0.000994,      0.00156,       0.0016,      0.00136,      0.00362,     6.04e-05,       0.00046291,       3.7981e-08,       0.00046295,     0.000389,     0.000818,     0.000358,     0.000368,      0.00042,     0.000479,     0.000406,     0.000854,     0.000541,     0.000753,     0.000963,     0.000778,     0.000339,     5.65e-06
       179, 28218.844,    0.005,        0.0011616,       2.8144e-06,        0.0011644,     0.000788,      0.00129,     0.000677,     0.000733,     0.000926,     0.000952,     0.000822,      0.00125,        0.001,      0.00134,      0.00149,      0.00127,      0.00293,     4.88e-05,        0.0004607,       5.2674e-08,       0.00046075,     0.000386,     0.000816,     0.000357,      0.00036,     0.000415,     0.000469,       0.0004,     0.000854,     0.000535,     0.000749,     0.000958,     0.000774,     0.000396,     6.61e-06
       180, 28502.436,    0.005,        0.0013063,       4.7892e-06,        0.0013111,     0.000847,      0.00137,     0.000661,     0.000766,      0.00109,        0.001,     0.000882,      0.00125,      0.00105,      0.00153,      0.00155,      0.00134,      0.00401,     6.69e-05,       0.00046514,       4.0088e-08,       0.00046518,     0.000393,      0.00082,     0.000362,     0.000362,     0.000426,     0.000478,     0.000407,     0.000855,     0.000534,     0.000758,     0.000962,     0.000777,     0.000342,     5.71e-06
       181, 28785.844,    0.005,        0.0012507,       4.2469e-06,        0.0012549,     0.000813,      0.00134,     0.000673,       0.0007,     0.000998,     0.000962,     0.000833,      0.00125,     0.000949,      0.00145,      0.00154,       0.0013,      0.00342,     5.71e-05,       0.00046471,        4.189e-08,       0.00046475,      0.00039,     0.000819,     0.000358,     0.000364,     0.000422,     0.000479,     0.000406,     0.000855,     0.000537,     0.000757,     0.000964,     0.000778,     0.000342,     5.71e-06
       182, 29069.443,    0.005,       0.00094846,       2.6545e-06,       0.00095112,     0.000675,      0.00117,     0.000575,     0.000696,      0.00079,     0.000832,     0.000723,      0.00115,     0.000931,      0.00117,      0.00137,      0.00116,      0.00293,     4.89e-05,       0.00045657,        3.657e-08,       0.00045661,     0.000384,     0.000812,     0.000356,     0.000357,     0.000412,      0.00047,     0.000399,      0.00085,     0.000528,     0.000745,     0.000957,      0.00077,     0.000336,      5.6e-06
       183, 29352.931,    0.005,        0.0012533,       7.8093e-06,        0.0012611,     0.000803,      0.00134,     0.000679,     0.000731,     0.000965,     0.000944,      0.00083,      0.00129,      0.00101,      0.00142,       0.0015,       0.0013,      0.00468,      7.8e-05,       0.00045902,       4.2719e-08,       0.00045907,     0.000386,     0.000814,     0.000356,     0.000354,     0.000419,     0.000463,     0.000398,      0.00085,     0.000525,     0.000752,     0.000953,      0.00077,     0.000349,     5.82e-06
       184, 29636.369,    0.005,        0.0011048,       3.5478e-06,        0.0011084,     0.000762,      0.00126,     0.000632,     0.000802,     0.000917,     0.000924,     0.000819,      0.00121,      0.00108,      0.00131,      0.00147,      0.00127,      0.00344,     5.74e-05,       0.00045687,       4.7496e-08,       0.00045692,     0.000384,     0.000812,     0.000354,     0.000362,     0.000413,     0.000467,     0.000399,      0.00085,     0.000534,     0.000747,     0.000955,     0.000771,     0.000362,     6.03e-06
       185, 29919.719,    0.005,        0.0010393,        3.818e-06,        0.0010431,     0.000731,      0.00122,     0.000621,     0.000788,     0.000861,     0.000864,     0.000783,       0.0012,      0.00105,      0.00124,      0.00139,      0.00122,      0.00359,     5.98e-05,       0.00045381,       4.3621e-08,       0.00045386,      0.00038,     0.000809,     0.000353,     0.000355,     0.000408,     0.000459,     0.000394,     0.000849,     0.000527,     0.000742,     0.000951,     0.000767,     0.000344,     5.74e-06
       186, 30203.293,    0.005,        0.0010946,         3.87e-06,        0.0010985,     0.000746,      0.00125,     0.000606,     0.000723,     0.000927,      0.00088,     0.000784,      0.00119,     0.000978,      0.00132,      0.00143,      0.00123,      0.00334,     5.57e-05,       0.00045049,       3.9849e-08,       0.00045053,     0.000379,     0.000807,     0.000353,     0.000351,     0.000405,     0.000457,     0.000391,     0.000847,     0.000521,     0.000736,     0.000948,     0.000763,     0.000326,     5.44e-06
       187, 30486.829,    0.005,        0.0015131,       6.5121e-06,        0.0015196,     0.000956,      0.00148,     0.000759,      0.00103,      0.00121,      0.00113,      0.00103,      0.00131,      0.00136,      0.00167,      0.00164,       0.0015,      0.00441,     7.34e-05,       0.00045989,       5.5834e-08,       0.00045995,     0.000387,     0.000815,     0.000356,     0.000377,     0.000418,     0.000468,     0.000405,     0.000851,     0.000547,     0.000751,     0.000955,     0.000776,     0.000397,     6.62e-06
       188, 30770.353,    0.005,        0.0010506,       4.7198e-06,        0.0010553,     0.000744,      0.00123,     0.000629,     0.000727,     0.000891,     0.000864,     0.000778,      0.00119,     0.000976,      0.00128,      0.00139,      0.00121,      0.00395,     6.58e-05,       0.00045601,       5.5085e-08,       0.00045607,      0.00038,     0.000811,     0.000349,     0.000367,     0.000411,     0.000466,     0.000398,     0.000848,     0.000541,     0.000747,     0.000955,     0.000773,     0.000394,     6.57e-06
       189, 31054.624,    0.005,        0.0012435,        3.403e-06,        0.0012469,     0.000803,      0.00134,     0.000643,     0.000814,      0.00101,     0.000955,     0.000855,      0.00122,      0.00112,      0.00148,       0.0015,      0.00133,      0.00312,     5.19e-05,       0.00045169,        4.309e-08,       0.00045173,      0.00038,     0.000808,     0.000353,     0.000354,     0.000408,     0.000458,     0.000393,     0.000846,     0.000523,     0.000742,     0.000947,     0.000764,     0.000362,     6.03e-06
       190, 31339.069,    0.005,        0.0012091,       4.7384e-06,        0.0012138,      0.00081,      0.00132,     0.000659,     0.000832,        0.001,     0.000938,     0.000858,      0.00123,      0.00115,      0.00143,      0.00146,      0.00132,      0.00399,     6.65e-05,        0.0004528,       4.2838e-08,       0.00045284,     0.000382,     0.000809,     0.000354,     0.000353,     0.000412,     0.000466,     0.000396,     0.000845,     0.000525,     0.000744,     0.000952,     0.000767,     0.000347,     5.79e-06
       191, 31623.133,    0.005,        0.0010883,       4.7473e-06,         0.001093,     0.000752,      0.00125,     0.000604,     0.000659,     0.000942,     0.000944,     0.000787,      0.00118,     0.000885,      0.00134,      0.00147,      0.00122,        0.004,     6.66e-05,       0.00045009,       4.0113e-08,       0.00045013,      0.00038,     0.000806,     0.000352,     0.000348,     0.000408,     0.000464,     0.000393,     0.000844,     0.000521,      0.00074,     0.000949,     0.000763,     0.000346,     5.77e-06
       192, 31907.056,    0.005,        0.0010265,       2.8383e-06,        0.0010293,     0.000713,      0.00122,     0.000596,     0.000688,     0.000863,     0.000829,     0.000744,      0.00119,     0.000931,      0.00125,      0.00138,      0.00119,       0.0031,     5.17e-05,       0.00044824,       4.0691e-08,       0.00044828,     0.000376,     0.000805,     0.000347,     0.000348,     0.000407,     0.000457,      0.00039,     0.000843,     0.000517,     0.000738,     0.000944,     0.000761,     0.000344,     5.73e-06
       193, 32191.356,    0.005,        0.0010475,       5.3701e-06,        0.0010529,     0.000735,      0.00123,     0.000608,     0.000757,     0.000888,      0.00089,     0.000786,      0.00118,      0.00104,      0.00128,       0.0014,      0.00123,      0.00393,     6.54e-05,       0.00044649,       4.9053e-08,       0.00044654,     0.000374,     0.000803,     0.000346,     0.000346,     0.000402,     0.000457,     0.000388,     0.000842,     0.000516,     0.000735,     0.000943,     0.000759,     0.000354,      5.9e-06
       194, 32475.956,    0.005,        0.0011115,       4.3978e-06,        0.0011159,     0.000725,      0.00123,     0.000597,     0.000657,     0.000897,     0.000846,     0.000749,      0.00118,     0.000891,      0.00131,      0.00138,      0.00119,      0.00384,      6.4e-05,       0.00044885,        4.798e-08,        0.0004489,     0.000372,     0.000805,     0.000344,     0.000348,       0.0004,     0.000449,     0.000385,     0.000844,      0.00052,     0.000738,     0.000945,     0.000762,      0.00037,     6.16e-06
       195, 32760.080,    0.005,        0.0014514,       8.3187e-06,        0.0014597,     0.000907,      0.00145,     0.000723,     0.000836,      0.00115,      0.00109,      0.00095,      0.00131,      0.00114,      0.00162,      0.00163,      0.00142,      0.00505,     8.42e-05,       0.00045487,       5.0054e-08,       0.00045492,     0.000389,      0.00081,     0.000359,     0.000358,     0.000421,     0.000464,     0.000401,     0.000845,     0.000526,     0.000751,     0.000946,     0.000767,     0.000372,      6.2e-06
       196, 33044.409,    0.005,        0.0012009,       6.9584e-06,        0.0012079,     0.000817,      0.00131,     0.000668,     0.000796,     0.000998,      0.00102,     0.000871,      0.00123,      0.00106,      0.00141,      0.00155,      0.00131,      0.00477,     7.95e-05,       0.00045326,       4.3485e-08,       0.00045331,     0.000385,     0.000809,     0.000357,     0.000353,     0.000415,     0.000462,     0.000397,     0.000845,     0.000521,     0.000748,     0.000947,     0.000765,      0.00034,     5.67e-06
       197, 33328.580,    0.005,        0.0013392,       6.6936e-06,        0.0013459,     0.000892,      0.00139,     0.000749,      0.00077,      0.00107,      0.00109,     0.000922,      0.00131,      0.00102,      0.00148,      0.00164,      0.00136,      0.00473,     7.89e-05,       0.00045464,       4.1538e-08,       0.00045468,     0.000388,      0.00081,      0.00036,     0.000352,     0.000415,     0.000472,       0.0004,     0.000847,     0.000522,     0.000747,     0.000954,     0.000767,      0.00035,     5.84e-06
       198, 33612.872,    0.005,        0.0011669,       3.7432e-06,        0.0011707,     0.000784,      0.00129,     0.000621,     0.000738,        0.001,     0.000915,     0.000819,       0.0012,     0.000997,      0.00142,      0.00144,      0.00126,      0.00358,     5.97e-05,        0.0004478,       3.8778e-08,       0.00044784,      0.00038,     0.000804,     0.000352,     0.000349,     0.000407,     0.000465,     0.000393,     0.000842,     0.000515,     0.000737,     0.000949,     0.000761,     0.000349,     5.82e-06
